# Suite classification for upstream ontologyportal/sumo tests/*.kif.tq (flat).
# Mirrors the established local plain/typed/hard/higher/broken split that
# scripts/regression.sh's expectations were gated on.  Format: <name>	<suite>.
SP01	plain
SP02	plain
SP03	plain
SP04	plain
SP26	plain
SP37	plain
TQC1	higher
TQC2	higher
TQC2b	higher
TQC2b2	higher
TQC3	higher
TQG1	plain
TQG10	plain
TQG11	typed
TQG12	plain
TQG13	plain
TQG14	plain
TQG15	plain
TQG16	hard
TQG17	plain
TQG18	plain
TQG19	typed
TQG2	plain
TQG20	typed
TQG21	typed
TQG22	plain
TQG23	plain
TQG24	plain
TQG25	hard
TQG26	plain
TQG27	higher
TQG28	hard
TQG29	plain
TQG3	typed
TQG30	plain
TQG31	plain
TQG32	plain
TQG33	typed
TQG34	plain
TQG35	plain
TQG36	hard
TQG37	plain
TQG38	plain
TQG39	higher
TQG4	higher
TQG40	broken
TQG41	broken
TQG42	broken
TQG43	broken
TQG44	plain
TQG45	plain
TQG46	plain
TQG47	plain
TQG48	plain
TQG49	plain
TQG5	plain
TQG50	plain
TQG51	plain
TQG51b	broken
TQG52	typed
TQG6	plain
TQG7	plain
TQG8	hard
TQG9	plain
TQM10	higher
TQM3	higher
